"country","firearms","per100","military","lawEnf","pop2022"
"United States","393347000","120.5000","4535380","1016000","334805.2690"
"Falkland Islands","2000","62.1000","","30","3.5390"
"Yemen","14859000","52.8000","28500","","31154.8670"
"New Caledonia","115000","42.5000","","700","290.9150"
"Serbia","2719000","39.1000","384422","53100","8653.0160"
"Montenegro","245000","39.1000","5396","8000","627.9500"
"Canada","12708000","34.7000","233949","103000","38388.4190"
"Uruguay","1198000","34.7000","62130","30000","3496.0160"
"Cyprus","285000","34","99000","11000","1223.3870"
"Finland","1793000","32.4000","475030","14000","5554.9600"
"Lebanon","1927000","31.9000","130150","41000","6684.8490"
"Iceland","106000","31.7000","650","590","345.3930"
"Bosnia and Herzegovina","1185000","31.2000","27300","29000","3249.3170"
"Austria","2577000","30","240880","37900","9066.7100"
"North Macedonia","621000","29.8000","29530","21000","2081.3040"
"Norway","1537000","28.8000","188646","13000","5511.3700"
"Liechtenstein","11000","28.8000","","200","38.3870"
"Malta","119000","28.3000","5547","1637","444.0330"
"Switzerland","2332000","27.6000","324484","34000","8773.6370"
"New Zealand","1212000","26.3000","38280","13000","4898.2030"
"Sweden","2296000","23.1000","139180","38000","10218.9710"
"Pakistan","43917000","22.3000","2315480","944000","229488.9940"
"Greenland","13000","22.3000","","300","56.9730"
"Portugal","2186000","21.3000","333640","89000","10140.5700"
"Germany","15822000","19.6000","483016","466000","83883.5960"
"France","12732000","19.6000","566430","497000","65584.5180"
"Iraq","7588000","19.6000","611000","56000","42164.9650"
"Reunion","171000","19.6000","","2000","908.0610"
"French Guiana","55000","19.6000","","2000","314.1690"
"Monaco","7000","19.6000","","1000","39.7830"
"Luxembourg","110000","18.9000","2340","5000","642.3710"
"Bahamas","74000","18.8000","2470","5000","400.5160"
"Jordan","1473000","18.7000","286450","60000","10300.8690"
"Venezuela","5895000","18.5000","353300","173000","29266.9910"
"Greece","1920000","17.6000","642510","99000","10316.6370"
"Saudi Arabia","5468000","16.7000","481350","214000","35844.9090"
"United Arab Emirates","1569000","16.7000","163800","41000","10081.7850"
"Paraguay","1140000","16.7000","235780","21000","7305.8430"
"Oman","792000","16.7000","118360","31000","5323.9930"
"Kuwait","685000","16.7000","82580","11000","4380.3260"
"Qatar","390000","16.7000","30680","5000","2979.9150"
"United States Virgin Islands","18000","16.6000","","300","103.9710"
"Turkey","13249000","16.5000","1390180","620000","85561.9760"
"Suriname","88000","15.9000","5985","2000","596.8310"
"Guyana","122000","15.8000","10890","4000","794.0450"
"Slovenia","324000","15.6000","131686","13000","2078.0340"
"Namibia","396000","15.4000","11880","15000","2633.8740"
"Thailand","10342000","15.1000","1052815","230000","70078.2030"
"Australia","3573000","14.5000","214520","69000","26068.7920"
"Italy","8609000","14.4000","502960","273000","60262.7700"
"San Marino","5000","14.4000","","160","34.0850"
"Honduras","1171000","14.1000","107720","29000","10221.2470"
"Andorra","10000","14.1000","","976","77.4630"
"Croatia","576000","13.7000","75120","39000","4059.2860"
"Lithuania","385000","13.6000","81240","17000","2661.7080"
"Libya","851000","13.3000","","","7040.7450"
"Mexico","16809000","12.9000","895285","591000","131562.7720"
"Bahrain","181000","12.8000","25796","20000","1783.9830"
"Belgium","1451000","12.7000","80880","78000","11668.2780"
"Afghanistan","4270000","12.5000","331170","239000","40754.3880"
"Czech Republic","1323000","12.5000","157233","76000","10736.7840"
"Equatorial Guinea","112000","12.5000","2760","2000","1496.6620"
"Somalia","1145000","12.4000","37620","8000","16841.7950"
"Russia","17620000","12.3000","30272900","2432000","145805.9470"
"Chile","2220000","12.1000","311900","66000","19250.1950"
"Guatemala","2062000","12.1000","160600","43000","18584.0390"
"El Salvador","737000","12","127840","30000","6550.3890"
"Albania","350000","12","21750","19000","2866.3740"
"Guam","20000","11.5000","","500","171.5190"
"Angola","2982000","11.2000","203300","60000","35027.3430"
"Panama","436000","10.8000","","30000","4446.9640"
"Hungary","1023000","10.5000","147880","17000","9606.2590"
"Latvia","205000","10.5000","27936","17000","1848.8370"
"Colombia","4971000","10.1000","350689","283000","51512.7620"
"Georgia","402000","10.1000","63950","41000","3968.7380"
"Samoa","20000","10.1000","","500","202.2390"
